original_text,translated_text_en
"Kerajaan kena bagi rakyat duit.sebulan rm.2000. Baru berbaloi,rakyat akan sentiasa sokong🎉🎉","The government has to give the people 2000 rm a month. Just worth it, the people will always support 🎉🎉"
"Inilah pengkhianat negara. Kita nak bantu dia, dia pulak khianat kat kita.","This is a traitor. We want to help him, he betrayed us."
Terima kasih pmx..pmx pm pling terbalik🙏,Thank you pmx..pmx pm reversed🙏
😂 apa lah ..segali dia bayar okey lah .. Bukan dia warga asing yang guna Ic pun..semua Liter yang diperuntukkan tu memang dah sah2 utk kegunaan yg dah ditetapkan..jadi apa masalahnya..dia nak isi terus 300L pun biarlah janji dia bayar,😂 what's the matter .. as long as he pays it's okay .. He's not a foreigner who uses Ic either .. all the liters allocated are indeed valid for the specified use .. so what's the problem .. he wants to fill up 300L directly let him promise to pay
Harap ada bantuan wang one-off UTK B.40 dan miskin.,Please have one-off money help for UTK B.40 and the poor.
Anthony kasi lama sikit pasal luitt blh masuk ma kalau mau kasi itu kes kasi cepat😂,Anthony give a little longer about luitt can enter ma if you want to give it kes give fast😂
🎉 berharap harap PMX boleh jadi PM sampai umur 💯 ya 🙏 PMX tolong hapuskan scammer dlm pejabat kerajaan rasuah n sakau ya 🙏,🎉 I hope that PMX can be PM until the age of 💯 yes 🙏 PMX please eliminate scammers in corrupt government offices if not yes 🙏
"Dah pernah nampak kat Johor, Bangsa tu isi bertong tong dalam estima bila tegur baru nak stop lari terus, bagi bangsa Singapore lah tu 🤭","I've seen it in Johor, the people are full of esteem when scolded, they just want to stop and run away, that's for the Singaporeans 🤭"
Bukan duit rakyat duit kerajaan hasil dari cukai. Kalau rakyat tidak berkerja tak dapat duit. Kalau duit rakyat tak payahlah kerja.duduk diam di rumah mintalah duit rakyat.tak sampai sebulan negara lingkup.,"It's not the people's money, it's the government's money from taxes. If people don't work, they don't get money. If it's the people's money, you don't have to work. Sit quietly at home and ask for the people's money. It won't take more than a month to cover the country."
Sembang gempak mmg champion sudagha ketimbang ni,"A great chat, even a champion is better than this"
Kiranya bujang X DPT str ka,I hope you are single X DPT str ka
Kerja dan terus kerja,Work and keep working
sepatut nya di tambah baikkan.dan bukan nya di kurangkan.satu tindakan kurang bijak..PM anwar,it should be improved. and not reduced. an unwise action.. PM anwar
Pimai pimai tang tu juga..potong str 300..tambah 50 tuk sara..250 baki masuk poket madanon..,Pimai pimai but this too .. cut str 300 .. add 50 tuk sara .. 250 tray into the pocket madanon ..
Saya hari hari cuti tak kesah,I don't have days off
Jualan Rahmah 3x sebulan ok tu terbaik pmx,"Selling Rahmah 3x a month is ok, that's the best pmx"
Ee faktaw name saye sufyan😅,Yes in fact their name sufyan😅
Kemungkinan sara akan dinaikan rm 1000?kalau betul alhamdulilah?kompom pembangkang marah?buat betul pun bangkang buat x betulpun bangkang?namapun pembangkang?hati panas jiwa sakit?sebab tu anwar turun anwar turun?,"Is it possible that the sara will be increased by rm 1000? If it is true, thank God? Is the opposition angry? If the opposition is right, the opposition will do the x even if the opposition is right? What is the name of the opposition? The heart is hot, the soul is sick? That's why Anwar is down, Anwar is down?"
Zaman dulu semua murah orang melayu masih mengaku susah.,"In the old days everything was cheap, Malays still admit it is difficult."
"Cakap pun tak yakin. Dulu kita yakin,😂","Can't even talk. We used to be sure,😂"
Kerajaan patut dah ada statistik berapa banyak subsidi yang telah di gunakan oleh T20 dan yang lain dari jumlah subsidi negara semenjak sistem baru di laksanakan.,The government should have statistics on how many subsidies have been used by T20 and others from the total number of national subsidies since the new system was implemented.
Kalau xisnin selasa ni la bil letrik aku sampai.,"If you are lucky, my electricity bill will arrive on Tuesday."
"😂lah katanya Nagara kaya ,semua takde miskin nikmati je lah harga naik kan bnyk duit wrga Malaydesh","😂 he said the country is rich, not everyone is poor, just enjoy the price increase, right?"
Upgrade lah sistem urusan kt kaunter to sekali. Jgn biarkan org ramai beratur smpai keluar,Upgrade the business system at the counter once. Don't let the crowd line up to get out
buat la pakai ic di sabah sarawak pakai Diesel,make it use ic in Sabah Sarawak using Diesel
"Ada 4 masalah kegunaan: 1) bila roadblock kita naik moto bateri fon habis.. Mcm mana nak tunjuk lesen ke polis? 2)banyak aduan kata mereka dah cuba download tapi ramai kata aplikasi tu log-out sendiri hingga ada anggota jpj sendiri kata kena beli handphone baru yg lebih besar atau canggih.. Kan ke x masuk akal tu?😵 3)ramai org2 tua yg tak guna smartphone pun, mereka guna phone nokia lama tu..ada yg langsung x pakai fon pun. 4) benda online maknanya kena sentiasa ada data internet.. Iye dunia maju tapi rakyat malaysia x kaya2 pun tetap mcm dulu 2000an, dengan nilai matawang kita rendah lagi..harga barang naik rakyat terasa dipaksa dan akan tertekan.","There are 4 problems of use: 1) when we ride a roadblock, the phone battery runs out.. How do we show the license to the police? 2) many complaints say they have tried to download but many say the application logs out by itself until some jpj members themselves say they have to buy a new bigger or more sophisticated mobile phone.. Doesn't that make sense? 😵 3) many old people don't even use smartphones, they use old nokia phones.. some don't even use phones at all. 4) online things mean that there must always be internet data.. Yes, the world is developed but even the rich Malaysians are still the same as they were in the 2000s, with the value of our currency being low again.. the price of goods is going up, people feel forced and will be depressed."
JPJ makin lama makin tak guna.ingat la wahai pegawai JPJ setiap apa yang anda lakukan akan ada balasan.JPJ sendiri langgar undang undang lepastu harap rakyat nak hormat,"JPJ is becoming more and more useless. Remember, JPJ officers, everything you do will be reciprocated. JPJ itself is breaking the law, so I hope the people will respect it."
Mcm tu la bila meniaga setahun sekali kat bazaar ni. Mcm kes zus masuk bazaar ramai peniaga air kecam😂😂😂😂,"That's how it is when you trade once a year at this bazaar. Just like the case when you enter the bazaar, there are a lot of water dealers who criticize 😂😂😂😂"
dasyat betul kerajaan sampai tahap lagu tu..sebab tu fitnah dlm ketegori dosa besar.. bermakna setiap tingkah laku dan perbuatan dianggap menyalahi undang undang. sapa sapa habis minyak tepi jln CALL 999,The government is really evil up to the level of that song.. that's why defamation is in the category of a major sin.. which means that every behavior and action is considered illegal. Anyone running out of oil on the side of Jln CALL 999
Nasib baik aku naik ETS,Luckily I went to ETS
Nasi kuning Nasi sahaja dlm bekas 4 segi -RM 13 lauk asing ayam masak merah bekas kecil BIASA-RM 18 TOTAL=31 *SHIBAL*,Yellow rice Rice only in a 4-sided container -RM 13 foreign side dish cooked red chicken small container REGULAR-RM 18 TOTAL=31 *SHIBAL*
